,price,year,manufacturer,condition,odometer,type,group
3315,18998,2013.0,chevrolet,excellent,117350.0,truck,3
3317,23998,2016.0,mercedes-benz,excellent,36039.0,sedan,1
3318,18999,2016.0,mazda,excellent,35045.0,SUV,1
3320,15998,2014.0,gmc,excellent,23790.0,truck,2
3322,14998,2009.0,dodge,excellent,74482.0,truck,3
3323,24998,2019.0,nissan,excellent,13625.0,SUV,1
3325,4400,2005.0,subaru,good,94300.0,wagon,1
3326,11598,2015.0,nissan,excellent,64274.0,sedan,1
3327,16998,2010.0,ram,excellent,99442.0,truck,1
3330,8300,2013.0,subaru,good,127363.0,SUV,1
3331,6995,2014.0,dodge,good,143810.0,sedan,3
3332,21998,2017.0,chevrolet,excellent,42211.0,van,3
3334,18598,2018.0,dodge,excellent,35314.0,van,3
3335,21998,2019.0,nissan,excellent,17074.0,SUV,1
3336,18598,2018.0,dodge,excellent,35314.0,van,3
3338,21998,2015.0,infiniti,excellent,36647.0,sedan,2
3339,24598,2016.0,lexus,excellent,27305.0,sedan,2
3340,16998,2015.0,jeep,excellent,20951.0,SUV,2
3341,23998,2016.0,mercedes-benz,excellent,48400.0,sedan,1
3342,24998,2016.0,audi,excellent,32348.0,SUV,3
3343,13998,2016.0,nissan,excellent,24365.0,sedan,1
3344,6998,2014.0,nissan,excellent,103675.0,sedan,1
3345,18998,2014.0,ram,excellent,80882.0,truck,1
3346,21998,2016.0,nissan,excellent,33558.0,truck,1
3348,0,2019.0,nissan,excellent,2949.0,sedan,1
3349,17998,2014.0,ram,excellent,60098.0,truck,1
3350,5998,2009.0,mazda,excellent,152963.0,SUV,1
3351,6700,2011.0,subaru,good,151801.0,SUV,1
3354,8995,2013.0,ford,good,149000.0,SUV,2
3355,6300,2009.0,subaru,good,101882.0,SUV,1
3356,7995,2012.0,chevrolet,excellent,112599.0,SUV,3
3357,7300,2013.0,subaru,excellent,156631.0,SUV,1
3358,11469,2016.0,kia,good,100750.0,mini-van,2
3359,5500,2011.0,subaru,good,171245.0,SUV,1
3360,5500,2010.0,subaru,good,125024.0,SUV,1
3361,5995,2012.0,subaru,good,111743.0,wagon,1
3362,4300,2011.0,chevrolet,good,138000.0,sedan,3
3363,7995,2008.0,ford,good,118000.0,van,2
3364,7995,2008.0,ford,good,118000.0,van,2
3365,7500,2011.0,subaru,good,103555.0,SUV,1
3366,4300,2008.0,buick,good,91000.0,sedan,3
3367,4995,2006.0,subaru,good,118675.0,SUV,1
3369,5995,2010.0,subaru,good,153457.0,SUV,1
3370,3995,2007.0,subaru,good,158223.0,SUV,1
3371,9300,2013.0,subaru,good,124638.0,SUV,1
3372,4995,2009.0,toyota,good,153534.0,hatchback,1
3373,5300,2007.0,subaru,good,125354.0,SUV,1
3375,5500,2010.0,volkswagen,good,163000.0,wagon,1
3377,2500,2004.0,nissan,good,126327.0,sedan,1
3378,25995,2018.0,subaru,like new,13000.0,wagon,1
3380,17495,2018.0,subaru,excellent,33000.0,wagon,1
3381,6995,2013.0,kia,good,133456.0,SUV,2
3383,25995,2018.0,subaru,like new,8000.0,wagon,1
3385,16995,2017.0,subaru,excellent,29000.0,sedan,1
3386,16995,2016.0,subaru,excellent,34300.0,SUV,1
3387,19995,2016.0,subaru,excellent,24000.0,wagon,1
3388,17495,2017.0,subaru,excellent,19000.0,sedan,1
3389,15495,2016.0,subaru,excellent,49200.0,hatchback,1
3390,5700,2010.0,subaru,good,148846.0,SUV,1
3391,17495,2017.0,subaru,excellent,21000.0,SUV,1
3392,3995,2012.0,ford,excellent,124460.0,hatchback,2
3393,25995,2019.0,subaru,like new,3000.0,wagon,1
3395,6995,2013.0,ford,good,131000.0,sedan,2
3396,7995,2008.0,ford,excellent,123203.0,SUV,2
3397,11995,2014.0,honda,excellent,73000.0,sedan,2
3400,6400,2012.0,nissan,good,47000.0,sedan,1
3401,10499,2015.0,subaru,excellent,106000.0,sedan,1
3402,5999,2009.0,toyota,excellent,129000.0,sedan,1
3403,10499,2015.0,subaru,excellent,100000.0,sedan,1
3404,7899,2013.0,volkswagen,excellent,127000.0,coupe,1
3405,4999,2008.0,nissan,excellent,140000.0,sedan,1
3407,11999,2015.0,subaru,like new,93720.0,wagon,1
3408,9999,2012.0,honda,excellent,131000.0,SUV,2
3409,21999,2013.0,lexus,excellent,95000.0,SUV,2
3410,9499,2015.0,volkswagen,excellent,102000.0,SUV,1
3411,8999,2014.0,subaru,excellent,124000.0,wagon,1
3412,6499,2011.0,subaru,excellent,112000.0,sedan,1
3413,12999,2014.0,nissan,excellent,109000.0,SUV,1
3414,10799,2016.0,nissan,excellent,74000.0,sedan,1
3416,7999,2010.0,subaru,excellent,99000.0,wagon,1
3417,5499,2006.0,honda,excellent,75000.0,coupe,2
3418,5400,2010.0,subaru,good,119000.0,sedan,1
3419,2250,2006.0,subaru,good,185015.0,hatchback,1
3421,4395,2009.0,nissan,excellent,131000.0,hatchback,1
3423,6295,2008.0,nissan,excellent,141.0,SUV,1
3427,10895,2010.0,toyota,good,118000.0,sedan,1
3429,11995,2010.0,honda,excellent,89000.0,SUV,2
3430,21395,2016.0,lexus,excellent,64000.0,SUV,2
3435,10500,2006.0,toyota,excellent,232865.0,truck,1
3436,25500,2014.0,ram,excellent,174000.0,pickup,1
3437,18495,2013.0,infiniti,excellent,132000.0,SUV,2
3440,8495,2007.0,lexus,excellent,96000.0,sedan,2
3442,8795,2009.0,lexus,good,136000.0,sedan,2
3443,7995,2010.0,toyota,excellent,140129.0,sedan,1
3444,12495,2011.0,lexus,excellent,142000.0,SUV,2
3446,12995,2012.0,toyota,excellent,131000.0,SUV,1
3447,26297,2017.0,chrysler,like new,44268.0,mini-van,3
3448,5200,2013.0,volkswagen,good,142000.0,sedan,1
3449,1,2003.0,chevrolet,good,71600.0,pickup,3
3451,23000,2012.0,ford,excellent,182000.0,pickup,2
3452,28497,2016.0,ford,excellent,53523.0,truck,2
3453,10495,2014.0,mazda,good,130210.0,hatchback,1
3454,10250,2013.0,subaru,good,132156.0,wagon,1
3455,8495,2010.0,toyota,good,124042.0,SUV,1
3456,8495,2011.0,toyota,good,147446.0,sedan,1
3457,26495,2013.0,mercedes-benz,good,64495.0,sedan,1
3458,12295,2012.0,jeep,good,109043.0,SUV,2
3459,14995,2013.0,volkswagen,good,111162.0,SUV,1
3460,4695,2010.0,chevrolet,good,142578.0,sedan,3
3461,14995,2012.0,ram,good,138699.0,truck,1
3462,15995,2013.0,ford,good,134391.0,truck,2
3463,11295,2013.0,honda,good,145038.0,SUV,2
3464,3995,2002.0,gmc,good,123132.0,SUV,2
3465,17495,2013.0,chevrolet,good,101685.0,SUV,3
3466,14995,2012.0,ram,good,97939.0,truck,1
3467,16995,2014.0,ram,good,97833.0,truck,1
3468,7999,2012.0,subaru,excellent,122120.0,sedan,1
3469,7495,2008.0,lexus,good,133547.0,sedan,2
3470,7895,2011.0,toyota,good,116640.0,sedan,1
